Dia,Estació,Nivell absolut (msnm),Percentatge volum embassat (%),Volum embassat (hm3)
24/04/2025,Embassament de la Llosa del Cavall (Navès),794.99,64.7,51.75
24/04/2025,Embassament de Sant Ponç (Clariana de Cardener),527.52,86.0,20.96
24/04/2025,Embassament de la Baells (Cercs),629.36,97.9,107.11
24/04/2025,Embassament de Darnius Boadella (Darnius),152.32,66.9,40.86
24/04/2025,Embassament de Sau (Vilanova de Sau),415.01,69.0,114.07
24/04/2025,Embassament de Foix (Castellet i la Gornal),100.33,97.2,3.63
24/04/2025,Embassament de Riudecanyes,213.20,58.4,3.11
24/04/2025,Embassament de Susqueda (Osor),331.59,58.3,135.94
23/04/2025,Embassament de la Llosa del Cavall (Navès),794.81,64.2,51.37
23/04/2025,Embassament de Foix (Castellet i la Gornal),100.35,97.4,3.64
23/04/2025,Embassament de la Baells (Cercs),629.43,98.1,107.36
23/04/2025,Embassament de Sant Ponç (Clariana de Cardener),527.36,85.1,20.76
23/04/2025,Embassament de Riudecanyes,213.18,58.3,3.10
23/04/2025,Embassament de Siurana (Cornudella de Montsant),468.20,25.4,3.10
23/04/2025,Embassament de Sau (Vilanova de Sau),415.05,69.1,114.20
23/04/2025,Embassament de Darnius Boadella (Darnius),152.31,66.8,40.84
23/04/2025,Embassament de Susqueda (Osor),331.21,57.7,134.48
22/04/2025,Embassament de Foix (Castellet i la Gornal),100.38,97.9,3.66
22/04/2025,Embassament de Sau (Vilanova de Sau),415.09,69.2,114.36
22/04/2025,Embassament de la Llosa del Cavall (Navès),794.60,63.7,50.95
22/04/2025,Embassament de Riudecanyes,213.14,58.0,3.09
22/04/2025,Embassament de Sant Ponç (Clariana de Cardener),527.00,83.2,20.29
22/04/2025,Embassament de Darnius Boadella (Darnius),150.51,66.8,40.81
22/04/2025,Embassament de Siurana (Cornudella de Montsant),468.17,25.3,3.09
22/04/2025,Embassament de Susqueda (Osor),330.77,57.0,132.81
22/04/2025,Embassament de la Baells (Cercs),629.46,98.2,107.46
21/04/2025,Embassament de Sau (Vilanova de Sau),415.26,69.7,115.17
21/04/2025,Embassament de Foix (Castellet i la Gornal),100.40,98.4,3.68
21/04/2025,Embassament de la Baells (Cercs),629.46,98.2,107.47
21/04/2025,Embassament de Darnius Boadella (Darnius),152.28,66.7,40.74
21/04/2025,Embassament de la Llosa del Cavall (Navès),794.40,63.1,50.52
21/04/2025,Embassament de Sant Ponç (Clariana de Cardener),526.81,82.3,20.06
21/04/2025,Embassament de Susqueda (Osor),330.19,56.1,130.60
21/04/2025,Embassament de Siurana (Cornudella de Montsant),468.15,25.3,3.09
21/04/2025,Embassament de Riudecanyes,213.10,57.8,3.07
20/04/2025,Embassament de Siurana (Cornudella de Montsant),468.14,25.2,3.08
20/04/2025,Embassament de Riudecanyes,213.07,57.6,3.06
20/04/2025,Embassament de la Baells (Cercs),629.41,98.1,107.30
20/04/2025,Embassament de la Llosa del Cavall (Navès),794.15,62.5,50.02
20/04/2025,Embassament de Foix (Castellet i la Gornal),100.41,98.5,3.69
20/04/2025,Embassament de Sant Ponç (Clariana de Cardener),526.68,81.6,19.89
20/04/2025,Embassament de Susqueda (Osor),329.57,55.1,128.32
20/04/2025,Embassament de Darnius Boadella (Darnius),152.26,66.6,40.69
20/04/2025,Embassament de Sau (Vilanova de Sau),415.38,70.0,115.74
19/04/2025,Embassament de Sant Ponç (Clariana de Cardener),526.52,80.7,19.68
19/04/2025,Embassament de Siurana (Cornudella de Montsant),468.12,25.2,3.08
19/04/2025,Embassament de Darnius Boadella (Darnius),152.24,66.5,40.63
19/04/2025,Embassament de la Baells (Cercs),629.31,97.7,106.92
19/04/2025,Embassament de Riudecanyes,213.03,57.4,3.05
19/04/2025,Embassament de Susqueda (Osor),328.96,54.1,126.06
19/04/2025,Embassament de la Llosa del Cavall (Navès),793.82,61.7,49.34
19/04/2025,Embassament de Foix (Castellet i la Gornal),100.41,98.5,3.69
19/04/2025,Embassament de Sau (Vilanova de Sau),415.45,70.2,116.07
18/04/2025,Embassament de Siurana (Cornudella de Montsant),468.10,25.1,3.07
18/04/2025,Embassament de Susqueda (Osor),328.33,53.1,123.79
18/04/2025,Embassament de Sau (Vilanova de Sau),415.52,70.5,116.44
18/04/2025,Embassament de la Llosa del Cavall (Navès),793.64,61.2,48.98
18/04/2025,Embassament de Darnius Boadella (Darnius),152.20,66.4,40.54
18/04/2025,Embassament de la Baells (Cercs),629.31,97.7,106.93
18/04/2025,Embassament de Foix (Castellet i la Gornal),100.41,98.4,3.68
18/04/2025,Embassament de Sant Ponç (Clariana de Cardener),526.44,80.4,19.59
18/04/2025,Embassament de Riudecanyes,212.99,57.1,3.04
17/04/2025,Embassament de la Llosa del Cavall (Navès),793.48,60.8,48.67
17/04/2025,Embassament de Riudecanyes,212.96,57.0,3.03
17/04/2025,Embassament de Darnius Boadella (Darnius),152.18,66.2,40.47
17/04/2025,Embassament de Susqueda (Osor),327.71,52.2,121.56
17/04/2025,Embassament de Sant Ponç (Clariana de Cardener),526.40,80.1,19.54
17/04/2025,Embassament de la Baells (Cercs),629.38,98.0,107.20
17/04/2025,Embassament de Foix (Castellet i la Gornal),100.42,98.6,3.69
17/04/2025,Embassament de Sau (Vilanova de Sau),415.53,70.5,116.48
17/04/2025,Embassament de Siurana (Cornudella de Montsant),468.09,25.1,3.07
16/04/2025,Embassament de Sau (Vilanova de Sau),415.49,70.4,116.30
16/04/2025,Embassament de Darnius Boadella (Darnius),152.14,66.1,40.38
16/04/2025,Embassament de Susqueda (Osor),327.04,51.2,119.20
16/04/2025,Embassament de Sant Ponç (Clariana de Cardener),526.36,79.9,19.49
16/04/2025,Embassament de Foix (Castellet i la Gornal),100.43,98.9,3.70
16/04/2025,Embassament de Riudecanyes,212.93,56.8,3.02
16/04/2025,Embassament de la Baells (Cercs),629.42,98.1,107.34
16/04/2025,Embassament de Siurana (Cornudella de Montsant),468.07,25.1,3.06
16/04/2025,Embassament de la Llosa del Cavall (Navès),793.30,60.4,48.31
15/04/2025,Embassament de Siurana (Cornudella de Montsant),468.05,25.0,3.06
15/04/2025,Embassament de Sau (Vilanova de Sau),415.41,70.1,115.91
15/04/2025,Embassament de Susqueda (Osor),326.51,50.4,117.35
15/04/2025,Embassament de Darnius Boadella (Darnius),152.10,65.9,40.25
15/04/2025,Embassament de Riudecanyes,212.89,56.6,3.01
15/04/2025,Embassament de Sant Ponç (Clariana de Cardener),526.31,79.7,19.43
15/04/2025,Embassament de la Baells (Cercs),629.38,97.9,107.17
15/04/2025,Embassament de Foix (Castellet i la Gornal),100.45,99.2,3.71
15/04/2025,Embassament de la Llosa del Cavall (Navès),793.09,59.9,47.89
14/04/2025,Embassament de Riudecanyes,212.85,56.3,3.00
14/04/2025,Embassament de Sant Ponç (Clariana de Cardener),526.26,79.4,19.37
14/04/2025,Embassament de la Llosa del Cavall (Navès),792.87,59.3,47.47
14/04/2025,Embassament de Siurana (Cornudella de Montsant),468.02,25.0,3.05
14/04/2025,Embassament de Darnius Boadella (Darnius),152.07,65.8,40.18
14/04/2025,Embassament de Foix (Castellet i la Gornal),100.47,99.7,3.73
14/04/2025,Embassament de Sau (Vilanova de Sau),415.42,70.2,115.96
14/04/2025,Embassament de la Baells (Cercs),629.24,97.5,106.70
14/04/2025,Embassament de Susqueda (Osor),325.99,49.6,115.55
13/04/2025,Embassament de Foix (Castellet i la Gornal),100.47,99.7,3.73
13/04/2025,Embassament de Darnius Boadella (Darnius),152.05,65.6,40.11
13/04/2025,Embassament de la Llosa del Cavall (Navès),792.70,58.9,47.14
13/04/2025,Embassament de Sant Ponç (Clariana de Cardener),526.22,79.3,19.32
13/04/2025,Embassament de Susqueda (Osor),325.33,48.6,113.33
13/04/2025,Embassament de Sau (Vilanova de Sau),415.60,70.7,116.83
13/04/2025,Embassament de Riudecanyes,212.80,56.1,2.98
13/04/2025,Embassament de la Baells (Cercs),629.24,97.5,106.69
13/04/2025,Embassament de Siurana (Cornudella de Montsant),468.00,24.9,3.04
12/04/2025,Embassament de Darnius Boadella (Darnius),152.02,65.5,40.04
12/04/2025,Embassament de Sant Ponç (Clariana de Cardener),526.19,79.1,19.28
12/04/2025,Embassament de la Llosa del Cavall (Navès),792.55,58.5,46.83
12/04/2025,Embassament de Susqueda (Osor),324.67,47.7,111.09
12/04/2025,Embassament de la Baells (Cercs),629.29,97.6,106.85
12/04/2025,Embassament de Foix (Castellet i la Gornal),100.47,99.6,3.73
12/04/2025,Embassament de Sau (Vilanova de Sau),415.86,71.4,118.05
12/04/2025,Embassament de Siurana (Cornudella de Montsant),467.97,24.8,3.03
12/04/2025,Embassament de Riudecanyes,212.76,55.9,2.97
11/04/2025,Embassament de Riudecanyes,212.72,55.6,2.96
11/04/2025,Embassament de Siurana (Cornudella de Montsant),467.94,24.8,3.03
11/04/2025,Embassament de Darnius Boadella (Darnius),152.00,65.4,39.96
11/04/2025,Embassament de Sant Ponç (Clariana de Cardener),526.16,78.9,19.24
11/04/2025,Embassament de la Baells (Cercs),629.33,97.8,106.99
11/04/2025,Embassament de Sau (Vilanova de Sau),416.11,72.2,119.27
11/04/2025,Embassament de Foix (Castellet i la Gornal),100.47,99.6,3.72
