Dia,Estació,Nivell absolut (msnm),Percentatge volum embassat (%),Volum embassat (hm3)
14/06/2024,Embassament de Susqueda (Osor),314.12,34.1,79.42
14/06/2024,Embassament de Riudecanyes,194.32,2.4,0.13
14/06/2024,Embassament de la Baells (Cercs),610.98,49.1,53.71
13/06/2024,Embassament de Foix (Castellet i la Gornal),98.60,70.6,2.64
13/06/2024,Embassament de Sau (Vilanova de Sau),401.95,37.6,62.15
13/06/2024,Embassament de Siurana (Cornudella de Montsant),452.21,2.2,0.26
13/06/2024,Embassament de Darnius Boadella (Darnius),138.94,22.8,13.91
13/06/2024,Embassament de la Llosa del Cavall (Navès),775.29,27.3,21.81
13/06/2024,Embassament de Susqueda (Osor),314.19,34.2,79.62
13/06/2024,Embassament de la Baells (Cercs),610.74,48.6,53.17
13/06/2024,Embassament de Riudecanyes,194.32,2.4,0.13
13/06/2024,Embassament de Sant Ponç (Clariana de Cardener),515.10,34.6,8.43
12/06/2024,Embassament de Darnius Boadella (Darnius),138.91,22.7,13.88
12/06/2024,Embassament de Susqueda (Osor),314.04,34.0,79.21
12/06/2024,Embassament de la Llosa del Cavall (Navès),775.21,27.2,21.72
12/06/2024,Embassament de Sant Ponç (Clariana de Cardener),515.09,34.5,8.42
12/06/2024,Embassament de Sau (Vilanova de Sau),398.91,31.9,52.76
12/06/2024,Embassament de Foix (Castellet i la Gornal),98.55,69.9,2.62
12/06/2024,Embassament de Riudecanyes,194.33,2.4,0.13
12/06/2024,Embassament de Siurana (Cornudella de Montsant),452.24,2.2,0.27
12/06/2024,Embassament de la Baells (Cercs),610.40,47.9,52.44
11/06/2024,Embassament de Sant Ponç (Clariana de Cardener),515.07,34.5,8.41
11/06/2024,Embassament de la Llosa del Cavall (Navès),775.16,27.1,21.67
11/06/2024,Embassament de Sau (Vilanova de Sau),398.12,30.5,50.47
11/06/2024,Embassament de Darnius Boadella (Darnius),138.91,22.7,13.88
11/06/2024,Embassament de la Baells (Cercs),610.28,47.7,52.16
11/06/2024,Embassament de Siurana (Cornudella de Montsant),452.26,2.2,0.27
11/06/2024,Embassament de Foix (Castellet i la Gornal),98.43,68.3,2.56
11/06/2024,Embassament de Riudecanyes,194.33,2.4,0.13
11/06/2024,Embassament de Susqueda (Osor),313.66,33.6,78.19
10/06/2024,Embassament de Darnius Boadella (Darnius),138.88,22.7,13.84
10/06/2024,Embassament de la Baells (Cercs),610.22,47.5,52.03
10/06/2024,Embassament de Sant Ponç (Clariana de Cardener),515.06,34.4,8.40
10/06/2024,Embassament de Siurana (Cornudella de Montsant),452.30,2.2,0.27
10/06/2024,Embassament de la Llosa del Cavall (Navès),775.11,27.0,21.62
10/06/2024,Embassament de Foix (Castellet i la Gornal),98.42,68.1,2.55
10/06/2024,Embassament de Susqueda (Osor),313.29,33.1,77.22
10/06/2024,Embassament de Sau (Vilanova de Sau),398.11,30.5,50.43
10/06/2024,Embassament de Riudecanyes,194.33,2.4,0.13
09/06/2024,Embassament de Riudecanyes,194.34,2.4,0.13
09/06/2024,Embassament de Sant Ponç (Clariana de Cardener),515.05,34.4,8.39
09/06/2024,Embassament de la Llosa del Cavall (Navès),775.06,27.0,21.57
09/06/2024,Embassament de Darnius Boadella (Darnius),138.88,22.7,13.84
09/06/2024,Embassament de Sau (Vilanova de Sau),398.12,30.5,50.46
09/06/2024,Embassament de Siurana (Cornudella de Montsant),452.34,2.2,0.27
09/06/2024,Embassament de la Baells (Cercs),610.17,47.4,51.92
09/06/2024,Embassament de Foix (Castellet i la Gornal),98.41,68.0,2.54
09/06/2024,Embassament de Susqueda (Osor),312.94,32.7,76.30
08/06/2024,Embassament de Riudecanyes,194.35,2.4,0.13
08/06/2024,Embassament de la Llosa del Cavall (Navès),775.02,26.9,21.53
08/06/2024,Embassament de Sau (Vilanova de Sau),398.17,30.6,50.61
08/06/2024,Embassament de la Baells (Cercs),610.11,47.3,51.80
08/06/2024,Embassament de Foix (Castellet i la Gornal),98.40,67.8,2.54
08/06/2024,Embassament de Siurana (Cornudella de Montsant),452.37,2.2,0.27
08/06/2024,Embassament de Susqueda (Osor),312.61,32.4,75.44
08/06/2024,Embassament de Darnius Boadella (Darnius),138.87,22.6,13.83
08/06/2024,Embassament de Sant Ponç (Clariana de Cardener),515.04,34.4,8.38
07/06/2024,Embassament de Susqueda (Osor),312.29,32.0,74.62
07/06/2024,Embassament de Sant Ponç (Clariana de Cardener),515.03,34.3,8.37
07/06/2024,Embassament de Siurana (Cornudella de Montsant),452.41,2.3,0.28
07/06/2024,Embassament de Riudecanyes,194.36,2.5,0.13
07/06/2024,Embassament de la Llosa del Cavall (Navès),774.99,26.9,21.50
07/06/2024,Embassament de Sau (Vilanova de Sau),398.21,30.7,50.72
07/06/2024,Embassament de la Baells (Cercs),610.05,47.2,51.66
07/06/2024,Embassament de Foix (Castellet i la Gornal),98.43,68.3,2.56
07/06/2024,Embassament de Darnius Boadella (Darnius),138.87,22.6,13.83
06/06/2024,Embassament de Siurana (Cornudella de Montsant),452.44,2.3,0.28
06/06/2024,Embassament de Sau (Vilanova de Sau),398.16,30.6,50.59
06/06/2024,Embassament de Susqueda (Osor),311.96,31.7,73.78
06/06/2024,Embassament de Foix (Castellet i la Gornal),98.47,68.8,2.57
06/06/2024,Embassament de Darnius Boadella (Darnius),138.85,22.6,13.80
06/06/2024,Embassament de Riudecanyes,194.37,2.5,0.13
06/06/2024,Embassament de la Baells (Cercs),609.96,47.0,51.48
06/06/2024,Embassament de Sant Ponç (Clariana de Cardener),515.01,34.3,8.36
06/06/2024,Embassament de la Llosa del Cavall (Navès),774.96,26.8,21.46
05/06/2024,Embassament de la Baells (Cercs),609.85,46.8,51.24
05/06/2024,Embassament de Sau (Vilanova de Sau),397.93,30.2,49.90
05/06/2024,Embassament de Riudecanyes,194.38,2.5,0.13
05/06/2024,Embassament de Siurana (Cornudella de Montsant),452.48,2.3,0.28
05/06/2024,Embassament de la Llosa del Cavall (Navès),774.91,26.8,21.42
05/06/2024,Embassament de Sant Ponç (Clariana de Cardener),515.00,34.3,8.35
05/06/2024,Embassament de Susqueda (Osor),311.60,31.3,72.83
05/06/2024,Embassament de Foix (Castellet i la Gornal),98.48,68.9,2.58
05/06/2024,Embassament de Darnius Boadella (Darnius),138.84,22.6,13.78
04/06/2024,Embassament de Sau (Vilanova de Sau),397.61,29.6,49.00
04/06/2024,Embassament de Darnius Boadella (Darnius),138.80,22.5,13.74
04/06/2024,Embassament de Foix (Castellet i la Gornal),98.49,69.1,2.58
04/06/2024,Embassament de la Baells (Cercs),609.71,46.5,50.94
04/06/2024,Embassament de Susqueda (Osor),310.99,30.6,71.30
04/06/2024,Embassament de Siurana (Cornudella de Montsant),452.51,2.3,0.28
04/06/2024,Embassament de la Llosa del Cavall (Navès),774.86,26.7,21.37
04/06/2024,Embassament de Riudecanyes,194.39,2.5,0.13
04/06/2024,Embassament de Sant Ponç (Clariana de Cardener),514.99,34.2,8.34
03/06/2024,Embassament de Sant Ponç (Clariana de Cardener),514.97,34.2,8.33
03/06/2024,Embassament de la Llosa del Cavall (Navès),774.80,26.6,21.31
03/06/2024,Embassament de Sau (Vilanova de Sau),397.37,29.3,48.34
03/06/2024,Embassament de Siurana (Cornudella de Montsant),452.54,2.3,0.29
03/06/2024,Embassament de Susqueda (Osor),310.53,30.1,70.15
03/06/2024,Embassament de Riudecanyes,194.40,2.5,0.13
03/06/2024,Embassament de la Baells (Cercs),609.57,46.3,50.64
03/06/2024,Embassament de Foix (Castellet i la Gornal),98.49,69.1,2.59
03/06/2024,Embassament de Darnius Boadella (Darnius),138.79,22.5,13.72
02/06/2024,Embassament de Susqueda (Osor),310.17,29.7,69.28
02/06/2024,Embassament de Siurana (Cornudella de Montsant),452.56,2.4,0.29
02/06/2024,Embassament de Riudecanyes,194.41,2.5,0.13
02/06/2024,Embassament de Darnius Boadella (Darnius),138.76,22.4,13.68
02/06/2024,Embassament de Sau (Vilanova de Sau),397.24,29.0,47.97
02/06/2024,Embassament de la Baells (Cercs),609.43,46.0,50.34
02/06/2024,Embassament de Sant Ponç (Clariana de Cardener),514.95,34.1,8.32
02/06/2024,Embassament de Foix (Castellet i la Gornal),98.47,68.9,2.58
02/06/2024,Embassament de la Llosa del Cavall (Navès),774.76,26.6,21.26
01/06/2024,Embassament de Siurana (Cornudella de Montsant),452.58,2.4,0.29
01/06/2024,Embassament de Sau (Vilanova de Sau),396.95,28.5,47.17
01/06/2024,Embassament de Riudecanyes,194.41,2.5,0.13
01/06/2024,Embassament de Susqueda (Osor),309.80,29.3,68.37
01/06/2024,Embassament de la Llosa del Cavall (Navès),774.72,26.5,21.22
01/06/2024,Embassament de la Baells (Cercs),609.24,45.6,49.94
01/06/2024,Embassament de Darnius Boadella (Darnius),138.73,22.3,13.65
01/06/2024,Embassament de Sant Ponç (Clariana de Cardener),514.93,34.1,8.30
01/06/2024,Embassament de Foix (Castellet i la Gornal),98.23,65.6,2.45
31/05/2024,Embassament de Foix (Castellet i la Gornal),98.21,65.3,2.44
31/05/2024,Embassament de Sau (Vilanova de Sau),396.57,27.9,46.13
31/05/2024,Embassament de Darnius Boadella (Darnius),138.69,22.3,13.60
31/05/2024,Embassament de la Baells (Cercs),608.96,45.1,49.35
31/05/2024,Embassament de Susqueda (Osor),309.43,29.0,67.47
31/05/2024,Embassament de la Llosa del Cavall (Navès),774.68,26.5,21.18
31/05/2024,Embassament de Siurana (Cornudella de Montsant),452.61,2.4,0.29
31/05/2024,Embassament de Riudecanyes,194.42,2.5,0.13
31/05/2024,Embassament de Sant Ponç (Clariana de Cardener),514.92,34.0,8.29
30/05/2024,Embassament de la Baells (Cercs),608.55,44.3,48.50
30/05/2024,Embassament de Susqueda (Osor),309.16,28.7,66.82
30/05/2024,Embassament de Sant Ponç (Clariana de Cardener),514.91,34.0,8.28
30/05/2024,Embassament de Siurana (Cornudella de Montsant),452.64,2.4,0.29
30/05/2024,Embassament de la Llosa del Cavall (Navès),774.61,26.4,21.11
30/05/2024,Embassament de Riudecanyes,194.43,2.5,0.13
30/05/2024,Embassament de Darnius Boadella (Darnius),138.64,22.1,13.53
30/05/2024,Embassament de Sau (Vilanova de Sau),396.03,27.0,44.68
30/05/2024,Embassament de Foix (Castellet i la Gornal),98.25,65.8,2.46
29/05/2024,Embassament de Darnius Boadella (Darnius),138.58,22.0,13.46
29/05/2024,Embassament de Sant Ponç (Clariana de Cardener),514.89,33.9,8.27
29/05/2024,Embassament de Foix (Castellet i la Gornal),98.27,66.2,2.47
29/05/2024,Embassament de Sau (Vilanova de Sau),395.86,26.8,44.24
29/05/2024,Embassament de Susqueda (Osor),308.94,28.4,66.29
29/05/2024,Embassament de la Llosa del Cavall (Navès),774.56,26.3,21.06
29/05/2024,Embassament de Siurana (Cornudella de Montsant),452.67,2.4,0.30
29/05/2024,Embassament de Riudecanyes,194.44,2.5,0.13
29/05/2024,Embassament de la Baells (Cercs),608.46,44.2,48.32
28/05/2024,Embassament de Susqueda (Osor),308.75,28.3,65.82
28/05/2024,Embassament de Sau (Vilanova de Sau),395.73,26.6,43.90
28/05/2024,Embassament de la Baells (Cercs),608.37,44.0,48.13
28/05/2024,Embassament de Darnius Boadella (Darnius),138.51,21.9,13.37
28/05/2024,Embassament de Sant Ponç (Clariana de Cardener),514.88,33.9,8.26
28/05/2024,Embassament de Siurana (Cornudella de Montsant),452.69,2.4,0.30
28/05/2024,Embassament de Riudecanyes,194.45,2.5,0.13
28/05/2024,Embassament de Foix (Castellet i la Gornal),98.31,66.6,2.49
28/05/2024,Embassament de la Llosa del Cavall (Navès),774.51,26.3,21.01
27/05/2024,Embassament de Riudecanyes,194.46,2.5,0.14
27/05/2024,Embassament de Foix (Castellet i la Gornal),98.32,66.8,2.50
27/05/2024,Embassament de la Baells (Cercs),608.26,43.8,47.90
27/05/2024,Embassament de Sau (Vilanova de Sau),395.56,26.3,43.45
27/05/2024,Embassament de Darnius Boadella (Darnius),138.42,21.7,13.26
27/05/2024,Embassament de Susqueda (Osor),308.51,28.0,65.25
27/05/2024,Embassament de Sant Ponç (Clariana de Cardener),514.86,33.8,8.24
27/05/2024,Embassament de la Llosa del Cavall (Navès),774.47,26.2,20.97
27/05/2024,Embassament de Siurana (Cornudella de Montsant),452.70,2.4,0.30
26/05/2024,Embassament de Susqueda (Osor),308.26,27.8,64.67
26/05/2024,Embassament de Siurana (Cornudella de Montsant),452.73,2.4,0.30
26/05/2024,Embassament de Darnius Boadella (Darnius),138.28,21.4,13.08
26/05/2024,Embassament de Sau (Vilanova de Sau),395.35,26.0,42.92
26/05/2024,Embassament de la Llosa del Cavall (Navès),774.42,26.2,20.92
26/05/2024,Embassament de Foix (Castellet i la Gornal),98.33,66.9,2.50
26/05/2024,Embassament de la Baells (Cercs),608.13,43.5,47.63
26/05/2024,Embassament de Riudecanyes,194.46,2.5,0.14
26/05/2024,Embassament de Sant Ponç (Clariana de Cardener),514.84,33.8,8.23
25/05/2024,Embassament de la Baells (Cercs),607.97,43.2,47.32
25/05/2024,Embassament de Foix (Castellet i la Gornal),98.34,67.0,2.51
25/05/2024,Embassament de Sau (Vilanova de Sau),395.06,25.5,42.20
25/05/2024,Embassament de Darnius Boadella (Darnius),138.06,21.0,12.81
25/05/2024,Embassament de Susqueda (Osor),308.03,27.5,64.13
25/05/2024,Embassament de la Llosa del Cavall (Navès),774.37,26.1,20.87
25/05/2024,Embassament de Riudecanyes,194.46,2.5,0.14
25/05/2024,Embassament de Siurana (Cornudella de Montsant),452.73,2.5,0.30
25/05/2024,Embassament de Sant Ponç (Clariana de Cardener),514.82,33.7,8.21
24/05/2024,Embassament de la Llosa del Cavall (Navès),774.30,26.0,20.80
24/05/2024,Embassament de Siurana (Cornudella de Montsant),452.75,2.5,0.30
24/05/2024,Embassament de Riudecanyes,194.46,2.5,0.14
24/05/2024,Embassament de Sant Ponç (Clariana de Cardener),514.78,33.6,8.19
24/05/2024,Embassament de Susqueda (Osor),307.80,27.3,63.59
24/05/2024,Embassament de Sau (Vilanova de Sau),394.70,25.0,41.29
24/05/2024,Embassament de la Baells (Cercs),607.83,43.0,47.05
24/05/2024,Embassament de Foix (Castellet i la Gornal),98.35,67.2,2.51
24/05/2024,Embassament de Darnius Boadella (Darnius),137.79,20.4,12.48
23/05/2024,Embassament de Riudecanyes,194.46,2.5,0.14
23/05/2024,Embassament de la Llosa del Cavall (Navès),774.24,25.9,20.74
23/05/2024,Embassament de Sant Ponç (Clariana de Cardener),514.75,33.5,8.17
23/05/2024,Embassament de Susqueda (Osor),307.61,27.1,63.14
23/05/2024,Embassament de Siurana (Cornudella de Montsant),452.77,2.5,0.30
23/05/2024,Embassament de Darnius Boadella (Darnius),137.50,19.9,12.13
23/05/2024,Embassament de Sau (Vilanova de Sau),394.21,24.3,40.10
23/05/2024,Embassament de Foix (Castellet i la Gornal),98.37,67.4,2.52
23/05/2024,Embassament de la Baells (Cercs),607.72,42.8,46.82
22/05/2024,Embassament de Susqueda (Osor),307.51,27.0,62.92
22/05/2024,Embassament de la Baells (Cercs),607.62,42.6,46.61
22/05/2024,Embassament de Riudecanyes,194.47,2.5,0.14
22/05/2024,Embassament de Siurana (Cornudella de Montsant),452.80,2.5,0.30
22/05/2024,Embassament de la Llosa del Cavall (Navès),774.18,25.8,20.68
22/05/2024,Embassament de Sant Ponç (Clariana de Cardener),514.74,33.4,8.15
22/05/2024,Embassament de Darnius Boadella (Darnius),137.04,19.0,11.60
22/05/2024,Embassament de Sau (Vilanova de Sau),393.49,23.2,38.35
22/05/2024,Embassament de Foix (Castellet i la Gornal),98.40,67.9,2.54
21/05/2024,Embassament de Sau (Vilanova de Sau),393.05,22.6,37.29
21/05/2024,Embassament de Darnius Boadella (Darnius),136.36,17.8,10.85
21/05/2024,Embassament de Susqueda (Osor),307.40,26.9,62.66
21/05/2024,Embassament de Foix (Castellet i la Gornal),98.44,68.4,2.56
21/05/2024,Embassament de la Baells (Cercs),607.52,42.4,46.42
21/05/2024,Embassament de Riudecanyes,194.47,2.6,0.14
21/05/2024,Embassament de Siurana (Cornudella de Montsant),452.82,2.5,0.31
21/05/2024,Embassament de la Llosa del Cavall (Navès),774.11,25.8,20.62
21/05/2024,Embassament de Sant Ponç (Clariana de Cardener),514.73,33.4,8.15
20/05/2024,Embassament de Riudecanyes,194.48,2.6,0.14
20/05/2024,Embassament de Sau (Vilanova de Sau),392.76,22.2,36.61
20/05/2024,Embassament de la Llosa del Cavall (Navès),774.04,25.7,20.55
20/05/2024,Embassament de Siurana (Cornudella de Montsant),452.85,2.5,0.31
20/05/2024,Embassament de Darnius Boadella (Darnius),136.19,17.4,10.66
20/05/2024,Embassament de la Baells (Cercs),607.42,42.2,46.22
20/05/2024,Embassament de Sant Ponç (Clariana de Cardener),514.71,33.4,8.14
20/05/2024,Embassament de Susqueda (Osor),307.25,26.7,62.32
20/05/2024,Embassament de Foix (Castellet i la Gornal),98.45,68.5,2.56
19/05/2024,Embassament de la Llosa del Cavall (Navès),773.96,25.6,20.46
19/05/2024,Embassament de Riudecanyes,194.48,2.6,0.14
19/05/2024,Embassament de Foix (Castellet i la Gornal),98.45,68.6,2.57
19/05/2024,Embassament de la Baells (Cercs),607.31,42.0,46.01
19/05/2024,Embassament de Sau (Vilanova de Sau),392.53,21.8,36.06
19/05/2024,Embassament de Darnius Boadella (Darnius),136.12,17.3,10.58
19/05/2024,Embassament de Susqueda (Osor),307.13,26.6,62.04
19/05/2024,Embassament de Sant Ponç (Clariana de Cardener),514.68,33.3,8.12
19/05/2024,Embassament de Siurana (Cornudella de Montsant),452.87,2.5,0.31
18/05/2024,Embassament de Riudecanyes,194.48,2.6,0.14
18/05/2024,Embassament de Sant Ponç (Clariana de Cardener),514.67,33.2,8.10
18/05/2024,Embassament de la Llosa del Cavall (Navès),773.89,25.5,20.40
18/05/2024,Embassament de Foix (Castellet i la Gornal),98.45,68.5,2.56
18/05/2024,Embassament de Susqueda (Osor),307.01,26.5,61.76
18/05/2024,Embassament de Sau (Vilanova de Sau),392.30,21.5,35.54
18/05/2024,Embassament de Siurana (Cornudella de Montsant),452.89,2.5,0.31
18/05/2024,Embassament de Darnius Boadella (Darnius),136.07,17.2,10.53
18/05/2024,Embassament de la Baells (Cercs),607.21,41.9,45.80
17/05/2024,Embassament de Foix (Castellet i la Gornal),98.44,68.5,2.56
17/05/2024,Embassament de la Llosa del Cavall (Navès),773.83,25.4,20.34
17/05/2024,Embassament de Riudecanyes,194.48,2.6,0.14
17/05/2024,Embassament de la Baells (Cercs),607.10,41.7,45.58
17/05/2024,Embassament de Sant Ponç (Clariana de Cardener),514.65,33.2,8.09
17/05/2024,Embassament de Darnius Boadella (Darnius),136.02,17.1,10.48
17/05/2024,Embassament de Susqueda (Osor),306.88,26.4,61.47
17/05/2024,Embassament de Siurana (Cornudella de Montsant),452.91,2.6,0.31
17/05/2024,Embassament de Sau (Vilanova de Sau),392.07,21.2,35.00
16/05/2024,Embassament de Darnius Boadella (Darnius),135.98,17.1,10.42
16/05/2024,Embassament de Sant Ponç (Clariana de Cardener),514.64,33.1,8.08
16/05/2024,Embassament de Foix (Castellet i la Gornal),98.29,66.4,2.48
16/05/2024,Embassament de Sau (Vilanova de Sau),391.79,20.8,34.35
16/05/2024,Embassament de Susqueda (Osor),306.77,26.3,61.22
16/05/2024,Embassament de Siurana (Cornudella de Montsant),452.93,2.6,0.31
16/05/2024,Embassament de la Llosa del Cavall (Navès),773.75,25.3,20.26
16/05/2024,Embassament de la Baells (Cercs),606.98,41.4,45.36
16/05/2024,Embassament de Riudecanyes,194.47,2.5,0.14
15/05/2024,Embassament de la Llosa del Cavall (Navès),773.67,25.2,20.18
15/05/2024,Embassament de la Baells (Cercs),606.86,41.2,45.11
15/05/2024,Embassament de Susqueda (Osor),306.80,26.3,61.28
15/05/2024,Embassament de Riudecanyes,194.47,2.5,0.14
15/05/2024,Embassament de Sau (Vilanova de Sau),391.35,20.2,33.36
15/05/2024,Embassament de Sant Ponç (Clariana de Cardener),514.62,33.1,8.07
15/05/2024,Embassament de Foix (Castellet i la Gornal),98.19,65.1,2.43
15/05/2024,Embassament de Darnius Boadella (Darnius),135.93,17.0,10.38
15/05/2024,Embassament de Siurana (Cornudella de Montsant),452.95,2.6,0.31
14/05/2024,Embassament de Siurana (Cornudella de Montsant),452.97,2.6,0.32
14/05/2024,Embassament de la Llosa del Cavall (Navès),773.58,25.1,20.09
14/05/2024,Embassament de Sant Ponç (Clariana de Cardener),514.59,33.0,8.05
14/05/2024,Embassament de la Baells (Cercs),606.70,40.9,44.80
14/05/2024,Embassament de Riudecanyes,194.47,2.6,0.14
14/05/2024,Embassament de Darnius Boadella (Darnius),135.89,16.9,10.33
14/05/2024,Embassament de Sau (Vilanova de Sau),390.81,19.5,32.14
14/05/2024,Embassament de Foix (Castellet i la Gornal),98.12,64.1,2.40
14/05/2024,Embassament de Susqueda (Osor),306.81,26.3,61.31
13/05/2024,Embassament de Foix (Castellet i la Gornal),98.10,63.8,2.39
13/05/2024,Embassament de Sau (Vilanova de Sau),390.42,18.9,31.28
13/05/2024,Embassament de Darnius Boadella (Darnius),135.86,16.9,10.30
13/05/2024,Embassament de Susqueda (Osor),306.78,26.3,61.23
13/05/2024,Embassament de Sant Ponç (Clariana de Cardener),514.57,32.9,8.03
13/05/2024,Embassament de la Llosa del Cavall (Navès),773.48,25.0,20.00
13/05/2024,Embassament de Siurana (Cornudella de Montsant),452.98,2.6,0.32
13/05/2024,Embassament de Riudecanyes,194.50,2.6,0.14
13/05/2024,Embassament de la Baells (Cercs),606.56,40.7,44.53
12/05/2024,Embassament de Darnius Boadella (Darnius),135.84,16.8,10.28
12/05/2024,Embassament de Susqueda (Osor),306.74,26.2,61.15
12/05/2024,Embassament de Sant Ponç (Clariana de Cardener),514.55,32.9,8.01
12/05/2024,Embassament de la Llosa del Cavall (Navès),773.40,24.9,19.92
12/05/2024,Embassament de Siurana (Cornudella de Montsant),453.01,2.6,0.32
12/05/2024,Embassament de la Baells (Cercs),606.43,40.5,44.28
12/05/2024,Embassament de Foix (Castellet i la Gornal),98.11,63.9,2.39
12/05/2024,Embassament de Riudecanyes,194.51,2.6,0.14
12/05/2024,Embassament de Sau (Vilanova de Sau),390.06,18.5,30.50
11/05/2024,Embassament de la Llosa del Cavall (Navès),773.32,24.8,19.84
11/05/2024,Embassament de Riudecanyes,194.51,2.6,0.14
11/05/2024,Embassament de Siurana (Cornudella de Montsant),453.03,2.6,0.32
11/05/2024,Embassament de Susqueda (Osor),306.71,26.2,61.07
11/05/2024,Embassament de Sant Ponç (Clariana de Cardener),514.53,32.8,8.00
11/05/2024,Embassament de Darnius Boadella (Darnius),135.83,16.8,10.27
11/05/2024,Embassament de Sau (Vilanova de Sau),389.67,17.9,29.65
11/05/2024,Embassament de la Baells (Cercs),606.27,40.2,43.98
11/05/2024,Embassament de Foix (Castellet i la Gornal),98.11,64.0,2.39
10/05/2024,Embassament de Foix (Castellet i la Gornal),98.12,64.1,2.40
10/05/2024,Embassament de Darnius Boadella (Darnius),135.80,16.7,10.23
10/05/2024,Embassament de Sau (Vilanova de Sau),389.22,17.4,28.69
10/05/2024,Embassament de Susqueda (Osor),306.70,26.2,61.06
10/05/2024,Embassament de la Baells (Cercs),606.08,39.9,43.62
10/05/2024,Embassament de Riudecanyes,194.51,2.6,0.14
10/05/2024,Embassament de la Llosa del Cavall (Navès),773.22,24.7,19.75
10/05/2024,Embassament de Sant Ponç (Clariana de Cardener),514.51,32.8,7.99
10/05/2024,Embassament de Siurana (Cornudella de Montsant),453.06,2.6,0.32
09/05/2024,Embassament de la Baells (Cercs),605.85,39.5,43.18
09/05/2024,Embassament de Siurana (Cornudella de Montsant),453.09,2.7,0.33
09/05/2024,Embassament de Susqueda (Osor),306.77,26.3,61.21
09/05/2024,Embassament de la Llosa del Cavall (Navès),773.11,24.6,19.65
09/05/2024,Embassament de Darnius Boadella (Darnius),135.75,16.7,10.18
09/05/2024,Embassament de Riudecanyes,194.51,2.6,0.14
09/05/2024,Embassament de Sant Ponç (Clariana de Cardener),514.49,32.7,7.97
09/05/2024,Embassament de Foix (Castellet i la Gornal),98.13,64.3,2.40
09/05/2024,Embassament de Sau (Vilanova de Sau),388.60,16.6,27.39
08/05/2024,Embassament de Siurana (Cornudella de Montsant),453.12,2.7,0.33
08/05/2024,Embassament de la Llosa del Cavall (Navès),772.99,24.4,19.53
08/05/2024,Embassament de Sant Ponç (Clariana de Cardener),514.47,32.6,7.96
08/05/2024,Embassament de la Baells (Cercs),605.58,39.0,42.66
08/05/2024,Embassament de Foix (Castellet i la Gornal),98.15,64.5,2.41
08/05/2024,Embassament de Darnius Boadella (Darnius),135.69,16.6,10.12
08/05/2024,Embassament de Susqueda (Osor),306.82,26.3,61.33
08/05/2024,Embassament de Riudecanyes,194.52,2.6,0.14
08/05/2024,Embassament de Sau (Vilanova de Sau),387.82,15.6,25.78
07/05/2024,Embassament de la Llosa del Cavall (Navès),772.85,24.2,19.39
07/05/2024,Embassament de Foix (Castellet i la Gornal),98.18,64.9,2.43
07/05/2024,Embassament de la Baells (Cercs),605.26,38.4,42.07
07/05/2024,Embassament de Riudecanyes,194.53,2.6,0.14
07/05/2024,Embassament de Sau (Vilanova de Sau),386.80,14.4,23.73
07/05/2024,Embassament de Siurana (Cornudella de Montsant),453.13,2.7,0.33
07/05/2024,Embassament de Susqueda (Osor),306.89,26.4,61.49
07/05/2024,Embassament de Darnius Boadella (Darnius),135.63,16.5,10.06
07/05/2024,Embassament de Sant Ponç (Clariana de Cardener),514.44,32.6,7.94
06/05/2024,Embassament de la Llosa del Cavall (Navès),772.68,24.0,19.23
06/05/2024,Embassament de Sau (Vilanova de Sau),386.02,13.4,22.21
06/05/2024,Embassament de la Baells (Cercs),604.91,37.9,41.43
06/05/2024,Embassament de Foix (Castellet i la Gornal),98.21,65.3,2.44
06/05/2024,Embassament de Susqueda (Osor),306.94,26.4,61.60
06/05/2024,Embassament de Siurana (Cornudella de Montsant),453.16,2.7,0.33
06/05/2024,Embassament de Sant Ponç (Clariana de Cardener),514.41,32.5,7.92
06/05/2024,Embassament de Darnius Boadella (Darnius),135.56,16.3,9.98
06/05/2024,Embassament de Riudecanyes,194.53,2.6,0.14
05/05/2024,Embassament de Siurana (Cornudella de Montsant),453.17,2.7,0.33
05/05/2024,Embassament de Sau (Vilanova de Sau),385.40,12.7,21.03
05/05/2024,Embassament de Foix (Castellet i la Gornal),98.22,65.4,2.44
05/05/2024,Embassament de la Baells (Cercs),604.53,37.2,40.75
05/05/2024,Embassament de Susqueda (Osor),306.99,26.5,61.71
05/05/2024,Embassament de la Llosa del Cavall (Navès),772.49,23.8,19.06
05/05/2024,Embassament de Sant Ponç (Clariana de Cardener),514.38,32.4,7.89
05/05/2024,Embassament de Riudecanyes,194.53,2.6,0.14
05/05/2024,Embassament de Darnius Boadella (Darnius),135.47,16.2,9.89
04/05/2024,Embassament de la Baells (Cercs),604.13,36.6,40.03
04/05/2024,Embassament de Foix (Castellet i la Gornal),98.22,65.4,2.45
04/05/2024,Embassament de Sau (Vilanova de Sau),384.71,11.9,19.75
04/05/2024,Embassament de Darnius Boadella (Darnius),135.33,16.0,9.75
04/05/2024,Embassament de Sant Ponç (Clariana de Cardener),514.35,32.3,7.87
04/05/2024,Embassament de Riudecanyes,194.53,2.6,0.14
04/05/2024,Embassament de la Llosa del Cavall (Navès),772.28,23.6,18.87
04/05/2024,Embassament de Susqueda (Osor),307.04,26.5,61.83
04/05/2024,Embassament de Siurana (Cornudella de Montsant),453.17,2.7,0.33
03/05/2024,Embassament de Riudecanyes,194.54,2.6,0.14
03/05/2024,Embassament de Susqueda (Osor),307.10,26.6,61.96
