percentatge_volum_embassat,dia,volum_embassat,estaci,nivell_absolut,id
43.7,2002-01-18T00:00:00.000,34.99,Embassament de la Llosa del Cavall (Navès),785.28,20020118L25146-72-00002
33.4,2001-10-10T00:00:00.000,55.15,Embassament de Sau (Vilanova de Sau),398.5,20011010L08303-72-00001
19,2002-01-15T00:00:00.000,2.32,Embassament de Siurana (Cornudella de Montsant),465.29,20020115L43049-72-00003
52.6,2001-10-01T00:00:00.000,42.11,Embassament de la Llosa del Cavall (Navès),788.69,20011001L25146-72-00002
33.6,2002-01-13T00:00:00.000,1.79,Embassament de Riudecanyes,208.19,20020113L43127-72-00002
52.7,2001-08-15T00:00:00.000,87.08,Embassament de Sau (Vilanova de Sau),407.73,20010815L08303-72-00001
16.3,2001-12-04T00:00:00.000,1.99,Embassament de Siurana (Cornudella de Montsant),463.86,20011204L43049-72-00003
29.4,2001-12-27T00:00:00.000,1.57,Embassament de Riudecanyes,207.05,20011227L43127-72-00002
23.7,2001-11-16T00:00:00.000,1.26,Embassament de Riudecanyes,205.33,20011116L43127-72-00002
27.2,2001-11-21T00:00:00.000,1.44,Embassament de Riudecanyes,206.4,20011121L43127-72-00002
46,2001-12-06T00:00:00.000,36.81,Embassament de la Llosa del Cavall (Navès),786.87,20011206L25146-72-00002
46,2001-12-24T00:00:00.000,36.83,Embassament de la Llosa del Cavall (Navès),786.61,20011224L25146-72-00002
46.3,2001-08-29T00:00:00.000,76.59,Embassament de Sau (Vilanova de Sau),404.97,20010829L08303-72-00001
12.8,2001-09-20T00:00:00.000,1.56,Embassament de Siurana (Cornudella de Montsant),461.64,20010920L43049-72-00003
13.9,2001-11-06T00:00:00.000,1.7,Embassament de Siurana (Cornudella de Montsant),462.4,20011106L43049-72-00003
31.1,2001-12-03T00:00:00.000,51.47,Embassament de Sau (Vilanova de Sau),397.24,20011203L08303-72-00001
30.7,2002-02-25T00:00:00.000,18.74,Embassament de Darnius Boadella (Darnius),140.62,20020225L17060-72-00002
13.1,2001-09-30T00:00:00.000,1.6,Embassament de Siurana (Cornudella de Montsant),461.84,20010930L43049-72-00003
31.7,2001-12-03T00:00:00.000,19.37,Embassament de Darnius Boadella (Darnius),141.02,20011203L17060-72-00002
